"city","state","address","lat","lon"
"Queenstown","Ireland","Queenstown, Ireland",51.8503357,-8.2942858
"Avonmouth","England","Avonmouth, England",51.5022576,-2.6914364
"Liverpool","England","Liverpool, England",53.4083714,-2.9915726
"Needles","England","Needles, England",50.6626024,-1.5898395
"Eddystone","England","Eddystone, England",50.967444,-4.490114
"Cherbourg","France","Cherbourg, France",49.6337308,-1.622137
"Gibraltar","Spain","Gibraltar, Spain",36.1440934,-5.3417241
"Bishop Rock","England","Bishop Rock, England",49.8666667,-6.45
"New York","New York","New York, New York",40.7127753,-74.0059728
"Halifax","Canada","Halifax, Canada",44.6487635,-63.5752387
"Sandy Hook","New Jersey","Sandy Hook, New Jersey",40.4333496,-73.9885498
"Beady Hook","New York","Beady Hook, New York",40.7127753,-74.0059728
"Ambrose","New York","Ambrose, New York",40.7053107,-74.0025115
"Sandy Bank","New York","Sandy Bank, New York",53.0799164,-0.1305158
"Ambrose Light","New York","Ambrose Light, New York",40.7053107,-74.0025115
"Falmouth","England","Falmouth, England",50.152571,-5.06627
